template_name,template_language,template_path,resolved_template_path,tool,iac_type,return_code,duration_s,issue_count,issue_index,issue_id,issue_message,issue_level,issue_location,issue_json,issue_status,error
template_00376_test.json,cloudformation,data/cloudformation_collected_templates_new\template_00376_test.json,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00376_test.json,cfn-lint,cloudformation,6,1.63,2,1,W2501,Password shouldn't be hardcoded for Resources/MyDB/Properties/MasterUserPassword,Warning,L30,"{""id"": ""W2501"", ""message"": ""Password shouldn't be hardcoded for Resources/MyDB/Properties/MasterUserPassword"", ""level"": ""Warning"", ""location"": ""L30""}",issue,
template_00376_test.json,cloudformation,data/cloudformation_collected_templates_new\template_00376_test.json,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00376_test.json,cfn-lint,cloudformation,6,1.63,2,2,E6101,"'PublicDnsName' is not one of ['AllocatedStorage', 'AllowMajorVersionUpgrade', 'ApplyImmediately', 'AssociatedRoles', 'AutoMinorVersionUpgrade', 'AutomaticBackupReplicationKmsKeyId', 'AutomaticBackupReplicationRegion', 'AutomaticBackupReplicationRetentionPeriod', 'AutomaticRestartTime', 'AvailabilityZone', 'BackupRetentionPeriod', 'BackupTarget', 'CACertificateIdentifier', 'CertificateDetails.CAIdentifier', 'CertificateDetails.ValidTill', 'CertificateRotationRestart', 'CharacterSetName', 'CopyTagsToSnapshot', 'CustomIAMInstanceProfile', 'DBClusterIdentifier', 'DBClusterSnapshotIdentifier', 'DBInstanceArn', 'DBInstanceClass', 'DBInstanceIdentifier', 'DBInstanceStatus', 'DBName', 'DBParameterGroupName', 'DBSecurityGroups', 'DBSnapshotIdentifier', 'DBSubnetGroupName', 'DBSystemId', 'DatabaseInsightsMode', 'DbiResourceId', 'DedicatedLogVolume', 'DeleteAutomatedBackups', 'DeletionProtection', 'Domain', 'DomainAuthSecretArn', 'DomainDnsIps', 'DomainFqdn', 'DomainIAMRoleName', 'DomainOu', 'EnableCloudwatchLogsExports', 'EnableIAMDatabaseAuthentication', 'EnablePerformanceInsights', 'Endpoint.Address', 'Endpoint.HostedZoneId', 'Endpoint.Port', 'Engine', 'EngineLifecycleSupport', 'EngineVersion', 'InstanceCreateTime', 'Iops', 'IsStorageConfigUpgradeAvailable', 'KmsKeyId', 'LatestRestorableTime', 'LicenseModel', 'ListenerEndpoint.Address', 'ListenerEndpoint.HostedZoneId', 'ListenerEndpoint.Port', 'ManageMasterUserPassword', 'MasterUserAuthenticationType', 'MasterUserPassword', 'MasterUserSecret.KmsKeyId', 'MasterUserSecret.SecretArn', 'MasterUsername', 'MaxAllocatedStorage', 'MonitoringInterval', 'MonitoringRoleArn', 'MultiAZ', 'NcharCharacterSetName', 'NetworkType', 'OptionGroupName', 'PercentProgress', 'PerformanceInsightsKMSKeyId', 'PerformanceInsightsRetentionPeriod', 'Port', 'PreferredBackupWindow', 'PreferredMaintenanceWindow', 'ProcessorFeatures', 'PromotionTier', 'PubliclyAccessible', 'ReadReplicaDBClusterIdentifiers', 'ReadReplicaDBInstanceIdentifiers', 'ReplicaMode', 'RestoreTime', 'ResumeFullAutomationModeTime', 'SecondaryAvailabilityZone', 'SourceDBClusterIdentifier', 'SourceDBInstanceAutomatedBackupsArn', 'SourceDBInstanceIdentifier', 'SourceDbiResourceId', 'SourceRegion', 'StatusInfos', 'StorageEncrypted', 'StorageThroughput', 'StorageType', 'Tags', 'TdeCredentialArn', 'TdeCredentialPassword', 'Timezone', 'UseDefaultProcessorFeatures', 'UseLatestRestorableTime', 'VPCSecurityGroups'] in ['us-east-1']",Error,L37,"{""id"": ""E6101"", ""message"": ""'PublicDnsName' is not one of ['AllocatedStorage', 'AllowMajorVersionUpgrade', 'ApplyImmediately', 'AssociatedRoles', 'AutoMinorVersionUpgrade', 'AutomaticBackupReplicationKmsKeyId', 'AutomaticBackupReplicationRegion', 'AutomaticBackupReplicationRetentionPeriod', 'AutomaticRestartTime', 'AvailabilityZone', 'BackupRetentionPeriod', 'BackupTarget', 'CACertificateIdentifier', 'CertificateDetails.CAIdentifier', 'CertificateDetails.ValidTill', 'CertificateRotationRestart', 'CharacterSetName', 'CopyTagsToSnapshot', 'CustomIAMInstanceProfile', 'DBClusterIdentifier', 'DBClusterSnapshotIdentifier', 'DBInstanceArn', 'DBInstanceClass', 'DBInstanceIdentifier', 'DBInstanceStatus', 'DBName', 'DBParameterGroupName', 'DBSecurityGroups', 'DBSnapshotIdentifier', 'DBSubnetGroupName', 'DBSystemId', 'DatabaseInsightsMode', 'DbiResourceId', 'DedicatedLogVolume', 'DeleteAutomatedBackups', 'DeletionProtection', 'Domain', 'DomainAuthSecretArn', 'DomainDnsIps', 'DomainFqdn', 'DomainIAMRoleName', 'DomainOu', 'EnableCloudwatchLogsExports', 'EnableIAMDatabaseAuthentication', 'EnablePerformanceInsights', 'Endpoint.Address', 'Endpoint.HostedZoneId', 'Endpoint.Port', 'Engine', 'EngineLifecycleSupport', 'EngineVersion', 'InstanceCreateTime', 'Iops', 'IsStorageConfigUpgradeAvailable', 'KmsKeyId', 'LatestRestorableTime', 'LicenseModel', 'ListenerEndpoint.Address', 'ListenerEndpoint.HostedZoneId', 'ListenerEndpoint.Port', 'ManageMasterUserPassword', 'MasterUserAuthenticationType', 'MasterUserPassword', 'MasterUserSecret.KmsKeyId', 'MasterUserSecret.SecretArn', 'MasterUsername', 'MaxAllocatedStorage', 'MonitoringInterval', 'MonitoringRoleArn', 'MultiAZ', 'NcharCharacterSetName', 'NetworkType', 'OptionGroupName', 'PercentProgress', 'PerformanceInsightsKMSKeyId', 'PerformanceInsightsRetentionPeriod', 'Port', 'PreferredBackupWindow', 'PreferredMaintenanceWindow', 'ProcessorFeatures', 'PromotionTier', 'PubliclyAccessible', 'ReadReplicaDBClusterIdentifiers', 'ReadReplicaDBInstanceIdentifiers', 'ReplicaMode', 'RestoreTime', 'ResumeFullAutomationModeTime', 'SecondaryAvailabilityZone', 'SourceDBClusterIdentifier', 'SourceDBInstanceAutomatedBackupsArn', 'SourceDBInstanceIdentifier', 'SourceDbiResourceId', 'SourceRegion', 'StatusInfos', 'StorageEncrypted', 'StorageThroughput', 'StorageType', 'Tags', 'TdeCredentialArn', 'TdeCredentialPassword', 'Timezone', 'UseDefaultProcessorFeatures', 'UseLatestRestorableTime', 'VPCSecurityGroups'] in ['us-east-1']"", ""level"": ""Error"", ""location"": ""L37""}",issue,
template_00376_test.json,cloudformation,data/cloudformation_collected_templates_new\template_00376_test.json,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00376_test.json,tflint,cloudformation,,,0,,,,,,,unsupported,tflint does not support 'cloudformation'
template_00376_test.json,cloudformation,data/cloudformation_collected_templates_new\template_00376_test.json,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00376_test.json,trivy,cloudformation,0,0.684,6,1,AWS-0077,Instance has very low backup retention period.,MEDIUM,23,"{""id"": ""AWS-0077"", ""message"": ""Instance has very low backup retention period."", ""level"": ""MEDIUM"", ""location"": 23}",issue,
template_00376_test.json,cloudformation,data/cloudformation_collected_templates_new\template_00376_test.json,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00376_test.json,trivy,cloudformation,0,0.684,6,2,AWS-0080,Instance does not have storage encryption enabled.,HIGH,23,"{""id"": ""AWS-0080"", ""message"": ""Instance does not have storage encryption enabled."", ""level"": ""HIGH"", ""location"": 23}",issue,
template_00376_test.json,cloudformation,data/cloudformation_collected_templates_new\template_00376_test.json,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00376_test.json,trivy,cloudformation,0,0.684,6,3,AWS-0133,Instance does not have performance insights enabled.,LOW,23,"{""id"": ""AWS-0133"", ""message"": ""Instance does not have performance insights enabled."", ""level"": ""LOW"", ""location"": 23}",issue,
template_00376_test.json,cloudformation,data/cloudformation_collected_templates_new\template_00376_test.json,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00376_test.json,trivy,cloudformation,0,0.684,6,4,AWS-0176,Instance does not have IAM Authentication enabled,MEDIUM,23,"{""id"": ""AWS-0176"", ""message"": ""Instance does not have IAM Authentication enabled"", ""level"": ""MEDIUM"", ""location"": 23}",issue,
template_00376_test.json,cloudformation,data/cloudformation_collected_templates_new\template_00376_test.json,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00376_test.json,trivy,cloudformation,0,0.684,6,5,AWS-0177,Instance does not have Deletion Protection enabled,MEDIUM,23,"{""id"": ""AWS-0177"", ""message"": ""Instance does not have Deletion Protection enabled"", ""level"": ""MEDIUM"", ""location"": 23}",issue,
template_00376_test.json,cloudformation,data/cloudformation_collected_templates_new\template_00376_test.json,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00376_test.json,trivy,cloudformation,0,0.684,6,6,AWS-0180,Instance has Public Access enabled,HIGH,23,"{""id"": ""AWS-0180"", ""message"": ""Instance has Public Access enabled"", ""level"": ""HIGH"", ""location"": 23}",issue,
template_00376_test.json,cloudformation,data/cloudformation_collected_templates_new\template_00376_test.json,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00376_test.json,checkov,cloudformation,1,2.404,0,,,,,,,no_issue,
template_00376_test.json,cloudformation,data/cloudformation_collected_templates_new\template_00376_test.json,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00376_test.json,terraform-validate,cloudformation,,,0,,,,,,,unsupported,terraform-validate does not support 'cloudformation'
template_00508_TheLambdalithStack.yml,cloudformation,data/cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,cfn-lint,cloudformation,6,1.534,3,1,E2533,Runtime 'python3.8' was deprecated on '2024-10-14'. Creation was disabled on '2025-10-01' and update on '2025-11-01'. Please consider updating to 'python3.13',Error,L44,"{""id"": ""E2533"", ""message"": ""Runtime 'python3.8' was deprecated on '2024-10-14'. Creation was disabled on '2025-10-01' and update on '2025-11-01'. Please consider updating to 'python3.13'"", ""level"": ""Error"", ""location"": ""L44""}",issue,
template_00508_TheLambdalithStack.yml,cloudformation,data/cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,cfn-lint,cloudformation,6,1.534,3,2,W3005,'lambdalithHandlerServiceRole5EF8B2D9' dependency already enforced by a 'GetAtt' at 'Resources/lambdalithHandlerA7E51B4B/Properties/Role',Warning,L46,"{""id"": ""W3005"", ""message"": ""'lambdalithHandlerServiceRole5EF8B2D9' dependency already enforced by a 'GetAtt' at 'Resources/lambdalithHandlerA7E51B4B/Properties/Role'"", ""level"": ""Warning"", ""location"": ""L46""}",issue,
template_00508_TheLambdalithStack.yml,cloudformation,data/cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,cfn-lint,cloudformation,6,1.534,3,3,W2001,Parameter AssetParameters942dc8810017b8ceebf761d04a03cd725053f34f261656610cacf5346246bcd9ArtifactHashE439B6C2 not used.,Warning,L282,"{""id"": ""W2001"", ""message"": ""Parameter AssetParameters942dc8810017b8ceebf761d04a03cd725053f34f261656610cacf5346246bcd9ArtifactHashE439B6C2 not used."", ""level"": ""Warning"", ""location"": ""L282""}",issue,
template_00508_TheLambdalithStack.yml,cloudformation,data/cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,tflint,cloudformation,,,0,,,,,,,unsupported,tflint does not support 'cloudformation'
template_00508_TheLambdalithStack.yml,cloudformation,data/cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,trivy,cloudformation,0,0.68,4,1,AWS-0001,Access logging is not configured.,MEDIUM,69,"{""id"": ""AWS-0001"", ""message"": ""Access logging is not configured."", ""level"": ""MEDIUM"", ""location"": 69}",issue,
template_00508_TheLambdalithStack.yml,cloudformation,data/cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,trivy,cloudformation,0,0.68,4,2,AWS-0003,X-Ray tracing is not enabled.,LOW,69,"{""id"": ""AWS-0003"", ""message"": ""X-Ray tracing is not enabled."", ""level"": ""LOW"", ""location"": 69}",issue,
template_00508_TheLambdalithStack.yml,cloudformation,data/cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,trivy,cloudformation,0,0.68,4,3,AWS-0004,Authorization is not enabled for this method.,LOW,176,"{""id"": ""AWS-0004"", ""message"": ""Authorization is not enabled for this method."", ""level"": ""LOW"", ""location"": 176}",issue,
template_00508_TheLambdalithStack.yml,cloudformation,data/cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\cloudformation_collected_templates_new\template_00508_TheLambdalithStack.yml,trivy,cloudformation,0,0.68,4,4,AWS-0066,Function does not have tracing enabled.,LOW,20,"{""id"": ""AWS-0066"", ""message"": ""Function does not have tracing enabled."", ""level"": ""LOW"", ""location"": 20}",issue,
